,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
2584,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
2585,18-24 ans,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2586,18-24 ans,Moins souvent,Jamais,Moins souvent,Jamais,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
2587,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2588,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2589,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2590,18-24 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2591,15-17 ans,Au moins une fois par mois,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par mois,Jamais,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2592,15-17 ans,Au moins une fois par mois,Moins souvent,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2593,35-44 ans,Jamais,Au moins une fois par jour,Jamais,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par mois,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2594,45-59 ans,Jamais,Jamais,Jamais,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par mois,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
2595,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2596,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2597,15-17 ans,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Jamais,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2598,35-44 ans,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2599,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2600,18-24 ans,Moins souvent,Au moins une fois par semaine,Au moins une fois par mois,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2601,25-34 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2602,25-34 ans,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
2603,60-69 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2604,15-17 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2605,70 ans et +,Jamais,Moins souvent,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2606,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2607,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Moins souvent,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
2608,15-17 ans,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2609,70 ans et +,Jamais,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2610,60-69 ans,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2611,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2612,35-44 ans,Au moins une fois par mois,Au moins une fois par semaine,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Au moins une fois par semaine,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2613,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Plusieurs fois par jour,Jamais,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2614,70 ans et +,Moins souvent,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2615,35-44 ans,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Jamais,Moins souvent,Moins souvent,Plusieurs fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2616,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2617,35-44 ans,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par mois,Moins souvent,Jamais,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2618,45-59 ans,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
2619,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2620,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2621,45-59 ans,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2622,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2623,45-59 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2624,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2625,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par mois,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2626,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2627,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2628,70 ans et +,Plusieurs fois par jour,Moins souvent,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2629,25-34 ans,Au moins une fois par mois,Au moins une fois par mois,Jamais,Jamais,Au moins une fois par semaine,Jamais,Au moins une fois par mois,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2630,35-44 ans,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
2631,25-34 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2632,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2633,45-59 ans,Moins souvent,Au moins une fois par semaine,Jamais,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2634,45-59 ans,Moins souvent,Jamais,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Jamais,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2635,35-44 ans,Plusieurs fois par jour,Moins souvent,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2636,45-59 ans,Jamais,Au moins une fois par jour,Au moins une fois par mois,Jamais,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2637,35-44 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
2638,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par semaine,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2639,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2640,35-44 ans,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2641,45-59 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par mois,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2642,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2643,18-24 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2644,18-24 ans,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2645,15-17 ans,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2646,18-24 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Jamais,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2647,25-34 ans,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2648,45-59 ans,Jamais,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par semaine,Jamais,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
2649,45-59 ans,Jamais,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
2650,35-44 ans,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2651,60-69 ans,Moins souvent,Moins souvent,Jamais,Moins souvent,Jamais,Moins souvent,Jamais,Jamais,
2652,45-59 ans,Jamais,Au moins une fois par jour,Moins souvent,Jamais,Au moins une fois par jour,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2653,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2654,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2655,70 ans et +,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2656,45-59 ans,Jamais,Plusieurs fois par jour,Jamais,Jamais,Jamais,Au moins une fois par semaine,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2657,60-69 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2658,45-59 ans,Jamais,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2659,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par mois,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2660,60-69 ans,Moins souvent,Plusieurs fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,Moins souvent,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2661,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2662,18-24 ans,Plusieurs fois par jour,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2663,45-59 ans,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2664,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2665,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2666,45-59 ans,Moins souvent,Au moins une fois par jour,Moins souvent,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
2667,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2668,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
2669,45-59 ans,Moins souvent,Au moins une fois par semaine,Jamais,Jamais,Moins souvent,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2670,45-59 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2671,70 ans et +,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
2672,15-17 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2673,60-69 ans,Moins souvent,Plusieurs fois par jour,Moins souvent,Jamais,Moins souvent,Moins souvent,Jamais,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2674,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Moins souvent,Jamais,Jamais,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2675,70 ans et +,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2676,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,Jamais,Au moins une fois par mois,Au moins une fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2677,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Jamais,Au moins une fois par jour,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2678,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par mois,Moins souvent,Moins souvent,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2679,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2680,18-24 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
2681,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
2682,25-34 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
2683,25-34 ans,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2684,25-34 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2685,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Jamais,Moins souvent,Moins souvent,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2686,25-34 ans,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
2687,25-34 ans,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
2688,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
2689,25-34 ans,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
2690,25-34 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
